Player,Team,Draft Rank,Points
M.Salah,Liverpool,1,344
Haaland,Man City,2,181
Palmer,Chelsea,3,214
Isak,Newcastle,4,211
Saka,Arsenal,5,127
Watkins,Aston Villa,6,186
B.Fernandes,Man Utd,7,174
GyÃ¶keres,Arsenal,8,0
Wirtz,Liverpool,9,0
Marmoush,Man City,10,73
EkitikÃ©,Liverpool,11,0
Son,Spurs,12,129
Bowen,West Ham,13,193
Mbeumo,Man Utd,14,236
Cunha,Man Utd,15,178
Foden,Man City,16,105
Ãdegaard,Arsenal,17,116
Luis DÃ­az,Liverpool,18,183
JoÃ£o Pedro,Chelsea,19,126
Solanke,Spurs,20,108
Wood,Nott'm Forest,21,200
Wissa,Brentford,22,185
Eze,Crystal Palace,23,148
Mateta,Crystal Palace,24,150
Gibbs-White,Nott'm Forest,25,154
Gordon,Newcastle,26,124
Havertz,Arsenal,27,97
Gakpo,Liverpool,28,127
Å eÅ¡ko,Man Utd,29,0
Rogers,Aston Villa,30,161
Elanga,Newcastle,31,153
Semenyo,Bournemouth,32,165
Neto,Chelsea,33,104
Kluivert,Bournemouth,34,158
Johnson,Spurs,35,137
Maddison,Spurs,36,133
Evanilson,Bournemouth,37,128
Schade,Brentford,38,149
Madueke,Arsenal,39,120
Savinho,Man City,40,106
Rashford,Man Utd,41,95
Trossard,Arsenal,42,152
Martinelli,Arsenal,43,125
Kudus,Spurs,44,106
Cherki,Man City,45,0
Ndiaye,Everton,46,114
Welbeck,Brighton,47,125
Rice,Arsenal,48,127
Strand Larsen,Wolves,49,145
Mitoma,Brighton,50,145
Delap,Chelsea,51,132
Enzo,Chelsea,52,135
Amad,Man Utd,53,129
Darwin,Liverpool,54,66
J.Murphy,Newcastle,55,159
RaÃºl,Fulham,56,147
Sarr,Crystal Palace,57,149
Rodrigo,Man City,58,3
Mac Allister,Liverpool,59,122
Bruno G.,Newcastle,60,135
Doku,Man City,61,88
Iwobi,Fulham,62,156
Szoboszlai,Liverpool,63,143
Richarlison,Spurs,64,35
HÃ¸jlund,Man Utd,65,78
EstÃªvÃ£o,Chelsea,66,0
Barnes,Newcastle,67,130
Bernardo,Man City,68,110
Gittens,Chelsea,69,0
Tel,Spurs,70,42
Garnacho,Man Utd,71,106
GÃ¼ndoÄan,Man City,72,97
Grealish,Man City,73,38
N.Jackson,Chelsea,74,121
Chiesa,Liverpool,75,7
G.Jesus,Arsenal,76,42
Kulusevski,Spurs,77,117
Guessand,Aston Villa,78,0
Frimpong,Liverpool,79,0
AÃ¯t-Nouri,Man City,80,125
Gabriel,Arsenal,81,117
Cucurella,Chelsea,82,133
Gvardiol,Man City,83,153
Virgil,Liverpool,84,143
Kerkez,Liverpool,85,134
Saliba,Arsenal,86,130
Robertson,Liverpool,87,91
Hudson-Odoi,Nott'm Forest,88,103
Barry,Everton,89,0
Igor Jesus,Nott'm Forest,90,0
Tielemans,Aston Villa,91,121
Damsgaard,Brentford,92,131
Zirkzee,Man Utd,93,64
McNeil,Everton,94,93
FÃ¼llkrug,West Ham,95,42
Smith Rowe,Fulham,96,114
Minteh,Brighton,97,102
Merino,Arsenal,98,92
SouÄek,West Ham,99,126
Thiago,Brentford,100,9
Georginio,Brighton,101,95
L.PaquetÃ¡,West Ham,102,80
Joelinton,Newcastle,103,99
Ward-Prowse,West Ham,104,51
O.Dango,Bournemouth,105,111
Hee Chan,Wolves,106,37
Nkunku,Chelsea,107,60
March,Brighton,108,7
Mount,Man Utd,109,25
Antony,Man Utd,110,8
Sancho,Man Utd,111,86
N.Gonzalez,Man City,112,31
KovaÄiÄ,Man City,113,109
Ndoye,Nott'm Forest,114,0
Wilson,West Ham,115,0
Raya,Arsenal,116,142
Beto,Everton,117,87
Pickford,Everton,118,158
A.Becker,Liverpool,119,112
MuÃ±oz,Crystal Palace,120,142
Pedro Porro,Spurs,121,98
Caicedo,Chelsea,122,98
Lewis-Skelly,Arsenal,123,37
MilenkoviÄ,Nott'm Forest,124,145
Tarkowski,Everton,125,105
James,Chelsea,126,54
Reijnders,Man City,127,0
Ederson M.,Man City,128,111
Hall,Newcastle,129,102
Piroe,Leeds,130,0
Adingra,Sunderland,131,60
Muniz,Fulham,132,86
Murillo,Nott'm Forest,133,130
J.Timber,Arsenal,134,114
KonatÃ©,Liverpool,135,106
Tonali,Newcastle,136,106
Branthwaite,Everton,137,88
RÃºben,Man City,138,90
Zubimendi,Arsenal,139,0
SchÃ¤r,Newcastle,140,118
Anderson,Nott'm Forest,141,107
Nketiah,Crystal Palace,142,53
James,Leeds,143,0
Gnonto,Leeds,144,0
Ferguson,Brighton,145,28
Mayenda,Sunderland,146,0
Awoniyi,Nott'm Forest,147,32
Malen,Aston Villa,148,34
NÃ¸rgaard,Arsenal,149,107
White,Arsenal,150,50
J.Ramsey,Aston Villa,151,66
Matheus N.,Man City,152,81
Nwaneri,Arsenal,153,66
McGinn,Aston Villa,154,78
Isidor,Sunderland,155,0
Calafiori,Arsenal,156,39
Tavernier,Bournemouth,157,87
Andreas,Fulham,158,81
Akanji,Man City,159,61
Bailey,Aston Villa,160,47
AkÃ©,Man City,161,25
Adama,Fulham,162,95
Alcaraz,Everton,163,44
Stones,Man City,164,29
Flemming,Burnley,165,0
Elliott,Liverpool,166,33
Sessegnon,Fulham,167,57
Hinshelwood,Brighton,168,89
Enciso,Brighton,169,59
Harrison,Leeds,170,81
Bergvall,Spurs,171,44
Wilson,Fulham,172,78
Khusanov,Man City,173,14
Diarra,Sunderland,174,0
O'Riley,Brighton,175,50
Bobb,Man City,176,3
Gomes,Wolves,177,87
Anthony,Burnley,178,0
Gruda,Brighton,179,45
Casemiro,Man Utd,180,48
Tzimas,Brighton,181,0
Gana,Everton,182,89
Bissouma,Spurs,183,50
McAtee,Man City,184,31
Bellegarde,Wolves,185,90
Osula,Newcastle,186,19
Aaronson,Leeds,187,0
C.Jones,Liverpool,188,87
Bentancur,Spurs,189,49
Gravenberch,Liverpool,190,92
Milambo,Brentford,191,0
AndrÃ©,Wolves,192,61
Jota,Nott'm Forest,193,52
Kiwior,Arsenal,194,43
Munetsi,Wolves,195,50
Guedes,Wolves,196,62
Bruun Larsen,Burnley,197,0
Solomon,Spurs,198,0
Fer LÃ³pez,Wolves,199,0
Roberts,Sunderland,200,0
Echeverri,Man City,201,1
Odobert,Spurs,202,34
BuendÃ­a,Aston Villa,203,11
Iling Jr,Aston Villa,204,0
FÃ¡bio Vieira,Arsenal,205,0
Sima,Brighton,206,0
Benson,Burnley,207,0
J.Arias,Wolves,208,0
Summerville,West Ham,209,33
Enes Ãnal,Bournemouth,210,32
Mosquera,Arsenal,211,0
J.Palhinha,Spurs,212,0
Broja,Burnley,213,0
Sels,Nott'm Forest,214,150
Aina,Nott'm Forest,215,128
SÃ¡nchez,Chelsea,216,126
Robinson,Fulham,217,106
Livramento,Newcastle,218,105
Colwill,Chelsea,219,109
Mykolenko,Everton,220,121
Pope,Newcastle,221,102
Baleba,Brighton,222,87
Bamford,Leeds,223,0
Vicario,Spurs,224,66
Trafford,Man City,225,0
Henderson,Crystal Palace,226,135
Burn,Newcastle,227,115
Gusto,Chelsea,228,60
E.Le FÃ©e,Sunderland,229,0
Onana,Aston Villa,230,65
Leno,Fulham,231,115
Romero,Spurs,232,49
N.Williams,Nott'm Forest,233,109
Collins,Brentford,234,127
Nmecha,Leeds,235,0
Mazraoui,Man Utd,236,88
Trippier,Newcastle,237,72
Kostoulas,Brighton,238,0
Ãdouard,Crystal Palace,239,7
Mainoo,Man Utd,240,42
Mitchell,Crystal Palace,241,123
Bradley,Liverpool,242,41
Wharton,Crystal Palace,243,42
De Ligt,Man Utd,244,68
Lacroix,Crystal Palace,245,114
P.M.Sarr,Spurs,246,71
Chalobah,Chelsea,247,93
FÃ¡bio Silva,Wolves,248,0
Ortega Moreno,Man City,249,35
Tanaka,Leeds,250,0
Zabarnyi,Bournemouth,251,94
Bayindir,Man Utd,252,8
Lewis,Man City,253,66
Amdouni,Burnley,254,0
Henderson,Brentford,255,0
Botman,Newcastle,256,18
Martinez,Man Utd,257,68
O'Brien,Everton,258,65
Martinez,Aston Villa,259,111
Foster,Burnley,260,0
Lewis-Potter,Brentford,261,94
Carvalho,Brentford,262,35
Longstaff,Leeds,263,34
Buonanotte,Brighton,264,75
Christie,Bournemouth,265,76
Mateo Joseph,Leeds,266,0
Barkley,Aston Villa,267,44
Sinisterra,Bournemouth,268,23
Zinchenko,Arsenal,269,40
Esse,Crystal Palace,270,22
Y.Chermiti,Everton,271,3
Gray,Spurs,272,45
KalajdÅ¾iÄ,Wolves,273,0
Talbi,Sunderland,274,0
Edwards,Burnley,275,0
Ayari,Brighton,276,74
Hannibal,Burnley,277,0
Ugarte,Man Utd,278,49
OâReilly,Man City,279,31
Adams,Bournemouth,280,58
Kamara,Aston Villa,281,57
Ãlvarez,West Ham,282,40
Willock,Newcastle,283,46
Nelson,Arsenal,284,27
Ampadu,Leeds,285,0
Janelt,Brentford,286,73
Yates,Nott'm Forest,287,67
Rigg,Sunderland,288,0
Gomez,Liverpool,289,14
Lavia,Chelsea,290,26
Ramazani,Leeds,291,0
Brooks,Bournemouth,292,52
Greenwood,Leeds,293,0
Jensen,Brentford,294,38
Sosa,Crystal Palace,295,0
Scott,Bournemouth,296,26
Dewsbury-Hall,Everton,297,18
Milner,Brighton,298,6
Berge,Fulham,299,53
Kamada,Crystal Palace,300,45
Garner,Everton,301,42
Hughes,Crystal Palace,302,67
Tsimikas,Liverpool,303,43
Lerma,Crystal Palace,304,58
Endo,Liverpool,305,21
SangarÃ©,Nott'm Forest,306,20
Wieffer,Brighton,307,52
Philip,Bournemouth,308,10
Gruev,Leeds,309,0
Sadiki,Sunderland,310,0
B.Traore,Wolves,311,1
Cullen,Burnley,312,0
George,Chelsea,313,17
Koleosho,Burnley,314,0
AleksiÄ,Sunderland,315,0
Nypan,Man City,316,0
