league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,expected_npxg/sh,expected_g-xg,expected_np:g-xg
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26.0,1997.0,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,37,18,9,66.7,692,583,107,20,1,7,17,83,0,813,55,214,367,238,28,813,6,0,0.0,5,83.3,394,1617,953,16,4,10,6,494,0.05,-0.5,-0.5
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,70,10,20,33.3,731,644,83,7,4,2,117,12,64,979,6,57,216,715,162,978,90,41,45.6,37,41.1,628,4253,2460,32,51,34,40,711,0.09,-0.8,-1.0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,13,0,100.0,1413,1172,238,91,0,3,0,0,0,1480,880,1388,92,0,0,1480,1,1,100.0,0,0.0,921,4542,2729,0,0,1,0,841,,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25.0,1999.0,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,156,37,25,59.7,1650,1436,208,71,5,17,164,4,108,1948,82,325,909,733,81,1948,29,14,48.3,14,48.3,1031,6464,3394,58,16,36,32,1266,0.07,0.5,0.5
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,34,4,8,33.3,425,386,36,3,3,1,54,4,27,544,3,44,167,339,44,544,62,37,59.7,19,30.6,365,2852,1329,25,17,23,17,398,0.05,2.8,2.8
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27.0,1997.0,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,28,9,18,33.3,203,197,3,0,1,0,7,3,0,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,6,11,13,13,217,0.15,0.0,0.0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26.0,1997.0,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,63,53,37,58.9,1641,1560,80,51,1,8,9,3,0,1873,189,672,985,225,40,1873,5,4,80.0,1,20.0,1116,4470,2669,22,0,9,2,1366,0.12,0.4,0.4
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23.0,2001.0,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,78,17,39,30.4,699,679,15,0,5,2,92,12,3,994,17,102,247,660,182,994,109,33,30.3,60,55.0,670,4985,2620,33,64,50,38,752,0.14,0.6,0.6
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24.0,2000.0,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,5,48,1,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,31,11,13,45.8,736,704,31,10,3,1,2,4,0,846,100,281,494,72,5,846,5,3,60.0,2,40.0,492,1988,1037,7,1,3,2,615,0.06,0.8,0.8
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32.0,1991.0,15,9,704,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,55,1,6,14.3,474,466,8,7,4,1,1,0,0,522,9,93,304,131,3,522,4,1,25.0,2,50.0,302,1498,874,13,0,12,9,389,0.03,-0.1,-0.1
