fbref_name,fpl_code
Bukayo Saka,223340
David Raya Martin,154561
Declan Rice,204480
Ethan Nwaneri,499175
Gabriel Fernando de Jesus,205651
Gabriel dos Santos Magalhães,226597
Gabriel Martinelli Silva,444145
Jakub Kiwior,440854
Jurriën Timber,445122
Kai Havertz,219847
Kieran Tierney,192895
Leandro Trossard,116216
Martin Ødegaard,184029
Mikel Merino,195384
Myles Lewis-Skelly,499169
Nathan Butler-Oyedeji,461025
Oleksandr Zinchenko,206325
Raheem Sterling,103955
Reiss Nelson,200641
Riccardo Calafiori,466075
Tomiyasu Takehiro,223723
Thomas Partey,167199
William Saliba,462424
Amadou Onana,449871
Andrés García,606798
Axel Disasi,220362
Boubacar Kamara,226944
Diego Carlos Santos Silva,165659
Donyell Malen,204646
Emiliano Martínez Romero,98980
Ezri Konsa Ngoyo,199798
Ian Maatsen,441302
Jacob Ramsey,232653
Jaden Philogene,481624
John McGinn,122806
Kosta Nedeljković,578545
Lamare Bogarde,515597
Leon Bailey,215711
Lucas Digne,101188
Marco Asensio,174292
Marcus Rashford,176297
Matty Cash,199796
Morgan Rogers,244850
Ollie Watkins,178301
Pau Torres,244954
Robin Olsen,111782
Ross Barkley,88894
Tyrone Mings,149484
Youri Tielemans,166989
Adam Smith,54469
Alex Scott,503139
Antoine Semenyo,437730
Ben Winterburn,606775
Dango Ouattara,533463
Daniel Jebbison,523700
David Brooks,111317
Dean Huijsen,554605
Enes Ünal,168636
Francisco Evanilson de Lima Barbosa,444102
Illia Zabarnyi,477580
James Hill,463981
Julio Soler,575901
Justin Kluivert,222683
Kepa Arrizabalaga,109745
Lewis Cook,155408
Luis Sinisterra,224995
Marcos Senesi,221466
Marcus Tavernier,201658
Mark Travers,229600
Max Aarons,232980
Milos Kerkez,544877
Philip Billing,168991
Remy Rees-Dottin,606774
Ryan Christie,158499
Tyler Adams,200785
Zain Silcott-Duberry,530121
Ben Mee,51927
Bryan Mbeumo,446008
Christian Nørgaard,128295
Ethan Pinnock,231065
Frank Onyeka,428580
Gustavo Nunes Fernandes Gomes,626464
