id,assists,birth_date,bonus,bps,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,creativity,creativity_rank,direct_freekicks_order,ep_next,ep_this,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,influence,influence_rank,minutes,own_goals,penalties_missed,penalties_order,penalties_saved,points_per_game,points_per_game_rank,red_cards,saves,saves_per_90,second_name,squad_number,starts,starts_per_90,team_join_date,threat,threat_rank,total_points,web_name,yellow_cards,position,team_name,team_short_name
1,0,,0,0,0,0.0,438098,,0.0,795,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fábio,0,0.0,0,0.0,795,0.0,795,0,0,0,,0,0.0,794,0,0,0.0,Ferreira Vieira,,0,0.0,,0.0,791,0,Fábio Vieira,0,MID,Arsenal,ARS
2,2,1997-04-03,6,152,2,0.3,205651,,119.5,276,,0.0,0.0,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,Gabriel,5,0.75,3,52.6,287,154.4,349,600,0,0,,0,2.5,216,0,0,0.0,Fernando de Jesus,,6,0.9,2022-07-04,255.0,134,42,G.Jesus,4,FWD,Arsenal,ARS
3,2,1997-12-19,9,459,10,0.38,226597,,208.8,202,,0.0,0.0,1.21,0.05,3.91,0.15,2.7,23.09,0.88,0.1,Gabriel,22,0.84,3,108.2,135,584.6,108,2363,0,0,,0,4.2,34,0,0,0.0,dos Santos Magalhães,,28,1.07,2020-09-01,287.0,120,117,Gabriel,4,DEF,Arsenal,ARS
4,3,1999-06-11,14,343,7,0.34,219847,,269.0,161,,1.5,1.7,1.65,0.08,11.18,0.54,9.53,19.32,0.93,0.46,Kai,20,0.96,9,144.8,81,467.6,155,1872,0,0,3.0,0,4.2,36,0,0,0.0,Havertz,,21,1.01,2023-06-28,711.0,34,97,Havertz,5,FWD,Arsenal,ARS
5,0,,0,0,0,0.0,463748,,0.0,599,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Karl,0,0.0,0,0.0,612,0.0,612,0,0,0,,0,0.0,619,0,0,0.0,Hein,,0,0.0,,0.0,558,0,Hein,0,GKP,Arsenal,ARS
6,3,2001-06-17,9,426,11,0.41,445122,,296.8,145,,0.0,0.0,1.3,0.05,2.53,0.1,1.23,21.09,0.79,0.05,Jurriën,21,0.78,1,94.2,158,393.0,186,2415,0,0,,0,3.8,63,0,0,0.0,Timber,,27,1.01,2023-07-14,254.0,135,114,J.Timber,7,DEF,Arsenal,ARS
7,0,1991-12-20,0,112,2,0.26,85955,,88.8,311,,1.8,1.7,0.59,0.08,0.65,0.09,0.06,6.05,0.78,0.01,Jorge Luiz,7,0.9,0,14.2,422,44.8,444,701,0,0,,0,1.3,421,0,0,0.0,Frello Filho,,9,1.16,2023-01-31,8.0,443,20,Jorginho,5,MID,Arsenal,ARS
8,0,2000-02-15,2,178,3,0.24,440854,,91.3,310,,4.5,4.3,0.29,0.02,0.46,0.03,0.17,14.71,1.19,0.01,Jakub,15,1.21,1,39.2,328,267.2,260,1117,0,0,,0,2.5,212,0,0,0.0,Kiwior,,10,0.81,2023-01-23,32.0,377,43,Kiwior,1,DEF,Arsenal,ARS
9,4,2001-06-18,6,422,10,0.39,444145,,587.8,56,,5.5,5.0,4.46,0.18,11.59,0.46,7.13,26.22,1.03,0.28,Gabriel,25,0.99,8,206.1,26,559.8,115,2284,0,0,,0,3.8,65,0,0,0.0,Martinelli Silva,,25,0.99,2019-07-15,912.0,16,125,Martinelli,1,MID,Arsenal,ARS
12,2,2007-03-21,4,251,4,0.41,499175,,282.8,156,,1.8,2.3,1.78,0.18,2.97,0.3,1.19,5.38,0.55,0.12,Ethan,4,0.41,4,83.0,191,293.2,244,882,0,0,,0,2.5,205,0,0,0.0,Nwaneri,,11,1.12,2022-09-17,255.0,133,66,Nwaneri,1,MID,Arsenal,ARS
13,9,1998-12-17,11,529,11,0.43,184029,3.0,968.7,7,1.0,7.8,8.0,6.68,0.26,11.53,0.45,4.85,22.16,0.86,0.19,Martin,21,0.81,3,198.8,32,524.6,128,2321,0,0,2.0,0,3.9,58,0,0,0.0,Ødegaard,,26,1.01,2021-08-20,493.0,66,116,Ødegaard,4,MID,Arsenal,ARS
15,0,1995-09-15,10,555,13,0.34,154561,,10.7,458,,4.8,4.5,0.03,0.0,0.03,0.0,0.0,35.03,0.92,0.0,David,34,0.89,0,76.7,212,755.4,43,3420,0,0,,0,3.7,73,0,86,2.26,Raya Martin,,38,1.0,2024-07-04,0.0,796,142,Raya,3,GKP,Arsenal,ARS
16,7,1999-01-14,17,627,11,0.35,204480,2.0,959.6,9,2.0,8.2,7.0,5.64,0.18,9.14,0.29,3.51,27.13,0.86,0.11,Declan,29,0.92,4,208.8,24,733.0,50,2823,0,0,,0,3.6,85,1,0,0.0,Rice,,33,1.05,2023-07-15,399.0,86,127,Rice,5,MID,Arsenal,ARS
17,11,2001-09-05,18,508,7,0.37,223340,1.0,842.8,18,,3.8,3.5,7.78,0.41,14.65,0.77,6.87,17.72,0.93,0.36,Bukayo,21,1.1,6,227.9,14,606.0,98,1724,0,0,1.0,0,5.1,11,0,0,0.0,Saka,,20,1.04,2018-11-28,830.0,23,127,Saka,3,MID,Arsenal,ARS
18,0,2001-03-24,14,564,12,0.36,462424,,150.1,246,,0.0,0.0,1.28,0.04,3.7,0.11,2.42,30.32,0.9,0.07,William,29,0.86,2,94.2,159,672.6,68,3039,0,0,,0,3.7,76,1,0,0.0,Saliba,,35,1.04,2019-07-25,116.0,257,130,Saliba,2,DEF,Arsenal,ARS
20,3,1993-06-13,8,567,9,0.29,167199,,377.9,109,,3.8,3.7,2.64,0.09,4.91,0.16,2.27,30.83,0.99,0.07,Thomas,30,0.97,4,123.2,109,626.6,85,2793,0,0,,0,3.1,137,0,0,0.0,Partey,,31,1.0,2020-10-05,223.0,157,108,Thomas,4,MID,Arsenal,ARS
21,0,1997-06-05,2,99,1,0.36,192895,,109.1,286,,2.2,4.5,0.54,0.19,0.92,0.33,0.38,2.69,0.97,0.14,Kieran,1,0.36,1,25.0,377,91.8,405,250,0,0,,0,2.1,265,0,0,0.0,Tierney,,2,0.72,2019-08-08,48.0,343,27,Tierney,0,DEF,Arsenal,ARS
22,0,1998-11-05,0,2,0,0.0,223723,,0.3,516,,0.0,0.0,0.0,0.0,0.18,2.7,0.18,0.04,0.6,2.7,Tomiyasu,0,0.0,0,1.0,525,0.4,547,6,0,0,,0,1.0,516,0,0,0.0,Takehiro,,0,0.0,2021-08-31,9.0,437,1,Tomiyasu,0,DEF,Arsenal,ARS
23,8,1994-12-04,18,561,11,0.39,116216,4.0,617.6,54,,5.5,5.5,4.12,0.15,10.86,0.39,6.74,24.76,0.88,0.24,Leandro,27,0.95,8,202.1,29,609.0,95,2546,0,0,4.0,0,4.0,47,1,0,0.0,Trossard,,28,0.99,2023-01-20,798.0,25,152,Trossard,2,MID,Arsenal,ARS
24,2,1997-10-08,0,211,5,0.38,198869,,162.6,237,,4.2,4.7,1.3,0.1,1.76,0.13,0.46,16.88,1.27,0.03,Benjamin,13,0.98,0,51.0,291,247.6,274,1195,0,0,,0,2.9,158,0,0,0.0,White,,13,0.98,2021-07-30,100.0,276,50,White,2,DEF,Arsenal,ARS
