id,code,ep_next,ep_this,first_name,points_per_game,second_name,squad_number,total_points,web_name,team_join_date,birth_date,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,points_per_game_rank,starts_per_90,clean_sheets_per_90,position,team_name,team_short_name
1,154561,4.5,,David,3.7,Raya Martín,,142,Raya,2024-07-04,1995-09-15,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,0,38,0.0,0.03,0.03,35.03,37,342,635,178,,,,0.0,2.26,0.0,0.0,0.92,0.89,68,1.0,0.34,GKP,Arsenal,ARS
2,109745,2.8,,Kepa,3.4,Arrizabalaga Revuelta,,106,Arrizabalaga,2025-07-01,1994-10-03,2790,0,0,8,39,0,0,0,3,0,97,7,406,744.4,10.4,4.0,75.8,0,31,0.06,0.03,0.09,38.83,38,344,333,183,,,,0.0,3.13,0.0,0.0,1.25,1.26,94,1.0,0.26,GKP,Arsenal,ARS
3,463748,1.5,,Karl,0.0,Hein,,0,Hein,2020-10-28,2002-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,436,426,395,436,,,,0.0,0.0,0.0,0.0,0.0,0.0,439,0.0,0.0,GKP,Arsenal,ARS
4,551221,1.5,,Tommy,0.0,Setford,,0,Setford,2024-07-24,2006-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,470,461,435,470,,,,0.0,0.0,0.0,0.0,0.0,0.0,473,0.0,0.0,GKP,Arsenal,ARS
5,226597,4.5,,Gabriel,4.2,dos Santos Magalhães,,117,Gabriel,2020-09-01,1997-12-19,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,0,28,2.7,1.21,3.91,23.09,96,167,107,121,,,,0.1,0.0,0.05,0.15,0.88,0.84,32,1.07,0.38,DEF,Arsenal,ARS
6,462424,4.5,,William,3.7,Saliba,,130,Saliba,2019-07-25,2001-03-24,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,0,35,2.42,1.28,3.7,30.32,59,203,209,139,,,,0.07,0.0,0.04,0.11,0.9,0.86,70,1.04,0.36,DEF,Arsenal,ARS
7,466075,3.8,,Riccardo,2.1,Calafiori,,39,Calafiori,2024-07-29,2002-05-19,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,0,11,0.86,0.69,1.55,10.28,222,221,167,230,,,,0.08,0.0,0.06,0.14,0.95,1.1,236,1.01,0.09,DEF,Arsenal,ARS
8,445122,3.8,,Jurriën,3.8,Timber,,114,J.Timber,2023-07-14,2001-06-17,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,0,27,1.23,1.3,2.53,21.09,162,123,117,138,,,,0.05,0.0,0.05,0.1,0.79,0.78,59,1.01,0.41,DEF,Arsenal,ARS
9,440854,3.8,,Jakub,2.5,Kiwior,,43,Kiwior,2023-01-23,2000-02-15,1117,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32.0,39.2,0,10,0.17,0.29,0.46,14.71,214,244,286,261,,,,0.01,0.0,0.02,0.03,1.19,1.21,187,0.81,0.24,DEF,Arsenal,ARS
10,499169,3.8,,Myles,1.6,Lewis-Skelly,,37,Lewis-Skelly,2022-12-04,2006-09-26,1362,1,0,5,16,0,0,0,3,2,0,0,237,176.0,170.7,57.0,40.0,0,15,0.16,0.51,0.67,16.65,268,193,257,258,,,,0.01,0.0,0.03,0.04,1.1,1.06,297,0.99,0.33,DEF,Arsenal,ARS
