league,season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,13.3,692,583,107,20,1,7,17,83,0,0,0,0,580,2,7
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,19.2,731,644,83,7,4,2,117,12,64,56,0,2,552,4,21
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38.0,1413,1172,238,91,0,3,0,0,0,0,0,0,1040,3,0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,31.4,1650,1436,208,71,5,17,164,4,108,94,3,0,1376,6,15
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,9.9,425,386,36,3,3,1,54,4,27,18,0,0,342,3,14
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,6.8,203,197,3,0,1,0,7,3,0,0,0,0,156,3,12
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,26.3,1641,1560,80,51,1,8,9,3,0,0,0,0,1480,1,8
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,25.4,699,679,15,0,5,2,92,12,3,3,0,0,499,5,37
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,12.5,736,704,31,10,3,1,2,4,0,0,0,0,673,1,1
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32,1991,7.8,474,466,8,7,4,1,1,0,0,0,0,0,411,0,5
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,26.9,1395,1188,204,22,2,1,28,182,0,0,0,0,1194,3,25
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,20.8,519,511,6,1,1,0,11,5,0,0,0,0,407,2,11
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997,2.9,173,155,18,4,1,0,14,14,0,0,0,0,145,0,2
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,28.3,954,917,29,5,7,5,86,7,10,9,0,0,711,8,41
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,25.8,1499,1373,114,35,25,3,86,12,37,31,0,0,1237,12,27
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,17.6,577,567,5,4,5,1,13,1,0,0,0,0,451,5,12
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,15.2,776,660,111,17,3,2,10,94,0,0,0,0,708,5,2
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27,1996,5.9,451,399,49,14,2,3,13,33,1,0,0,0,382,3,3
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29,1994,5.5,201,197,2,0,0,1,16,1,1,0,0,0,158,2,7
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,24,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,10.9,549,483,65,7,0,2,11,58,0,0,0,0,470,1,11
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25,1998,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,31.1,1920,1819,95,27,6,4,12,62,0,0,0,0,1678,6,13
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23,2001,33.8,2559,2508,46,36,1,10,3,4,0,0,0,0,2413,5,4
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22,2001,18.0,802,796,5,4,3,0,2,0,0,0,0,0,703,1,11
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21,2003,3.5,201,176,25,0,0,0,18,25,0,0,0,0,174,0,5
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,26,1998,5.4,280,258,20,9,1,0,1,11,0,0,0,0,243,2,5
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,24,1999,19.2,931,904,27,25,5,0,1,0,0,0,0,0,825,0,8
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31,1993,9.2,603,575,25,17,0,6,0,0,0,0,0,0,534,3,0
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,FW,25,1999,3.4,77,71,5,0,0,2,8,1,0,0,0,0,53,1,3
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27,1996,1.1,60,59,1,1,1,0,0,0,0,0,0,0,49,0,0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,35.5,1387,1117,263,91,0,2,0,0,0,0,0,0,1091,7,0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26,1997,32.6,1673,1538,134,84,6,0,5,34,0,0,0,0,1555,1,21
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22,2002,12.7,747,646,101,16,1,2,51,80,5,2,0,0,609,0,25
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23,2001,18.0,586,581,2,0,3,3,12,2,0,0,0,0,497,3,15
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22,2002,3.7,86,85,1,0,1,0,4,1,0,0,0,0,63,0,9
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"MF,FW",29,1994,24.7,854,792,61,27,9,2,60,4,22,11,5,0,699,1,17
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,2003,7.1,163,155,7,0,2,0,3,0,0,0,0,0,115,1,4
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,1.4,53,41,12,1,0,0,1,11,0,0,0,0,47,0,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,5.3,272,239,31,14,0,0,0,17,0,0,0,0,240,2,1
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",26,1997,12.7,390,369,18,0,5,1,34,1,17,9,0,0,277,3,24
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993,26.1,1277,1017,258,44,2,4,140,155,57,37,10,0,956,2,41
